id,hip,hd,hr,gl,bf,proper,ra,dec,dist,rv,mag,absmag,spect,ci
29946,30019,43819,2258,,,,6.317178,17.325258,260.4167,0,6.27,-0.808,B9IIIsp...,-0.094,
29954,30028,44037,2270,,,,6.31887,-8.586012,127.0648,4.,6.22,.7,B9V,-0.043,
29987,30060,43378,2238,,2    Lyn,,6.327052,59.010963,48.0077,-4.,4.44,1.033,A2Vs,.032,
29989,30062,44225,,,,,6.32727,-22.103119,282.4859,0,6.29,-0.965,K3III,1.473,
29996,30069,44323,2279,,,,6.328043,-34.396591,125.,26.,5.76,.275,B9V,-0.08,
30000,30073,44112,2273,,7    Mon,,6.328555,-7.822908,267.3797,29.,5.27,-1.866,B2.5V,-0.177,
30020,30093,44131,2275,,,,6.333222,-2.944493,142.4501,47.,4.91,-0.858,M1III,1.613,
30026,30099,44033,2269,,,,6.334507,14.651127,181.8182,36.,5.67,-0.628,K3Ib,1.578,
30049,30122,44402,2282,,1Zet CMa,,6.338553,-30.063368,111.1111,32.,3.02,-2.209,B2.5V,-0.16,
30068,30141,44379,,,,,6.3431,-23.637962,166.9449,0,6.49,.377,K0III,1.132,
30070,30143,44506,2288,,,,6.3434,-34.144142,595.2381,54.,5.55,-3.323,B3V,-0.182,
30117,30190,44394,,,,,6.351509,-11.817324,232.5581,0,6.32,-0.513,K5,1.676,
30127,30200,44092,2272,,,,6.35331,29.540815,106.7236,21.,6.41,1.269,A1Vs,.048,
30141,30214,44458,2284,,,,6.356865,-11.773238,337.8378,16.,5.48,-2.164,B1Vpe SB,.002,
30144,30217,44333,2280,,,,6.357158,2.268522,92.3361,-28.,6.3,1.473,A4.5V,.251,
30145,30218,44234,2277,,,,6.357201,17.763502,131.406,10.,6.32,.727,G9:III:,1.1,
30174,30247,43905,2264,,45    Aur,,6.362811,53.452179,59.2066,-1.,5.34,1.478,F5III...,.448,
30199,30272,43812,2257,,4    Lyn,,6.367654,59.372101,152.207,-24.,6.05,.138,A3V,.153,
30204,30277,44762,2296,,Del Col,,6.368564,-33.436401,71.736,-3.,3.85,-0.429,G7II,.858,
30245,30318,44497,2287,,,,6.376776,12.570237,69.8324,21.,6.,1.78,F0III,.319,
30248,30321,45669,2352,,Pi 1Dor,,6.37729,-69.984039,189.7533,16.,5.56,-0.831,K5III,1.51,
30251,30324,44743,2294,,2Bet CMa,Mirzam,6.378329,-17.955917,151.0574,34.,1.98,-3.916,B1II/III,-0.24,
30269,30342,45229,2320,,Nu  Pic,,6.382179,-56.369968,48.2625,7.,5.6,2.182,Am,.242,
30270,30343,44478,2286,,13Mu  Gem,,6.382673,22.513586,71.0227,55.,2.87,-1.387,M3IIIvar,1.621,
30279,30352,45461,2337,,,,6.383741,-63.683136,337.8378,-14.,6.3,-1.344,M1III,1.612,
30284,30357,44061,,,,,6.385103,56.976349,152.6718,0,6.47,.551,K1III,1.075,
30303,30376,44956,2307,,,,6.387355,-31.790312,105.3741,15.,6.31,1.196,G8III,.893,
30309,30382,44700,2292,,,,6.38847,3.764489,325.7329,30.,6.41,-1.154,B3V,-0.149,
30334,30407,44816,2301,,,,6.393311,-9.874727,446.4286,29.,6.11,-2.139,K5,1.841,
30346,30419,44769,2298,,8Eps Mon,,6.396135,4.592865,37.4953,15.,4.39,1.52,A5IV,.215,
30347,30420,44891,2303,,,,6.396151,-15.071257,448.4305,37.,6.27,-1.988,K2/K3III,1.534,
30350,30423,45450,2336,,,,6.396367,-58.543873,103.8422,23.,6.47,1.388,A3V,.12,
30363,30436,45018,2311,,,,6.398866,-25.577629,310.559,34.,5.61,-1.851,K5III,1.561,
30365,30438,45348,2326,,Alp Car,Canopus,6.399195,-52.69566,94.7867,21.,-0.62,-5.504,F0Ib,.164,
30371,30444,45145,2316,,,,6.400281,-36.707764,101.5228,53.,5.62,.587,K1II/III,1.027,
30375,30448,44783,2300,,,,6.400634,8.885014,348.4321,3.,6.24,-1.471,B8Vn,-0.06,
30384,30457,44951,2305,,,,6.402867,-11.530088,106.8376,-26.,5.21,.066,K3III,1.23,
30390,30463,45557,2345,,,,6.40385,-60.281326,93.0233,10.,5.78,.937,A0V,-0.001,
30395,30468,44996,2309,,,,6.405716,-12.961939,289.0173,8.,6.12,-1.185,B4V,-0.076,
30407,30480,45701,2354,,,,6.407384,-63.428928,31.7561,23.,6.45,3.941,G3III/IV,.66,
30428,30501,44780,,,,,6.412152,25.048714,245.098,17.2,6.35,-0.597,K2III,1.21,
30430,30503,45184,2318,NN 3394,,,6.412193,-28.780111,21.8818,-4.4,6.37,4.67,G2V,.626,
30432,30505,45306,2323,,,,6.41236,-40.283978,165.8375,23.,6.3,.202,B9V,-0.049,
30445,30517,44867,2302,,,,6.414658,16.057131,141.0437,77.,6.35,.603,G9III,1.063,
30447,30520,44537,2289,,46Psi1Aur,,6.414973,49.287891,100000.,5.,4.92,-15.08,K5Iabvar,1.905,
30451,30524,45796,2360,,,,6.415501,-63.828144,224.2152,-1.,6.26,-0.493,B6V,-0.119,
30468,30541,44990,2310,,,,6.420278,7.085713,826.4463,32.,6.26,-3.326,K1Iabv SB,.85,
30472,30545,45067,2313,,,,6.421263,-0.945883,33.5683,44.,5.88,3.25,F8V,.564,
30491,30564,44984,2308,,,,6.424493,14.721992,100000.,13.,6.3,-13.7,C5II,2.349,
30492,30565,46116,2377,,Pi 2Dor,,6.424623,-69.6903,82.7815,9.,5.37,.78,G8III,.971,
30493,30566,45383,2329,,,,6.425001,-35.064152,168.3502,19.,6.24,.109,K3III,1.353,
30497,30570,44927,2304,,,,6.425816,23.327169,150.6024,-27.,6.05,.161,A2Vn,.02,
30518,30591,45572,2348,,,,6.428793,-48.176899,180.1802,6.,5.76,-0.519,B9V,-0.061,
30522,30595,45168,2317,,,,6.42976,-3.889032,287.3563,12.,6.33,-0.962,G9III,1.018,
30529,30602,45090,,,,,6.431202,11.125884,123.1527,0,6.39,.938,A0,.077,
30535,30608,45239,2321,,,,6.433008,-7.894983,173.6111,31.,6.4,.202,A4V,.145,
30554,30627,45215,,,,,6.435986,-3.515691,173.0104,0,6.42,.23,G5,1.039,
30578,30651,44691,2291,,,,6.440514,56.285095,74.9625,-10.,5.53,1.156,A3m,.238,
30587,30660,45321,2325,,,,6.442901,-4.5974,396.8254,10.,6.16,-1.833,B2.5V,-0.151,
30593,30666,45320,2324,,,,6.444329,-1.507336,72.4638,10.,5.87,1.569,A3Vn,.07,
30596,30669,45420,,,,,6.445183,-14.603429,169.7793,0,6.32,.171,K0/K1III,1.242,
30602,30675,45380,2328,,,,6.445792,-7.511936,75.4148,20.,6.35,1.963,A0Vn,-0.061,
30606,30679,44708,2293,,5    Lyn,,6.44691,58.417408,191.9386,-3.,5.21,-1.206,K4III,1.538,
30630,30703,45984,2369,,,,6.451147,-58.002117,172.7116,13.,5.82,-0.367,K3III,1.279,
30633,30706,45680,2353,,,,6.452107,-37.895508,50.4032,30.,6.48,2.968,F3V,.394,
30639,30711,45588,2349,Wo 9212A,,,6.45316,-25.856497,29.8686,35.8,6.05,3.674,F8/G0V,.545,
30644,30717,45416,2334,,,,6.453823,.299246,260.4167,33.,5.19,-1.888,K1II,1.186,
30647,30720,45433,2335,,,,6.454331,-0.275999,212.3142,39.,5.55,-1.085,K5III,1.376,
30655,30728,45415,2333,,,,6.455681,2.908288,94.4287,53.,5.55,.674,G9III,1.035,
30668,30741,45192,2319,,,,6.459867,32.562946,184.8429,57.,6.43,.096,K0,1.264,
30696,30769,45394,2330,,16    Gem,,6.465742,20.496321,142.4501,39.,6.22,.452,A2Vs,.041,
30699,30772,45546,2344,,10    Mon,,6.465992,-4.762154,333.3333,25.,5.06,-2.554,B2V,-0.175,
30715,30788,45813,2361,,Lam CMa,,6.469503,-32.58007,129.8701,41.,4.47,-1.098,B4V,-0.169,
30721,30794,44472,2285,,,,6.47069,70.535316,177.9359,-30.,6.03,-0.221,A4V,.103,
30725,30798,45563,2347,,,,6.471324,1.912679,161.5509,42.,6.48,.438,B9V,-0.064,
30731,30804,45512,2342,,,,6.471893,10.303893,81.8331,-20.,6.16,1.595,K2III-IV,1.15,
30742,30815,45506,2340,,,,6.47446,16.238386,68.918,41.,6.24,2.048,G5,.894,
30754,30827,45412,2332,,48    Aur,,6.476136,30.493034,100000.,22.,5.75,-14.25,F5.5Ibv,.779,
30763,30836,45765,2359,,,,6.477061,-17.466009,139.8601,18.,5.76,.032,K0III,1.118,
30767,30840,45871,2364,,,,6.477568,-32.371281,264.5503,23.,5.74,-1.373,B5IV,-0.16,
30776,30849,45983,2368,,,,6.47845,-41.074879,74.5712,17.,6.32,1.957,F2/F3V,.39,
30794,30867,45725,2356,,11Bet Mon,,6.480297,-7.033062,207.4689,20.,3.76,-2.825,B3Ve,-0.113,
30810,30883,45542,2343,,18Nu  Gem,,6.482719,20.212133,166.9449,39.,4.13,-1.983,B6III,-0.115,
30833,30906,45724,2355,,,,6.487448,2.646194,300.3003,9.,6.17,-1.218,M1,1.539,
30859,30932,46355,2389,,,,6.491255,-56.852764,93.2836,13.,5.2,.351,K0III,1.087,
30880,30953,46273,2384,,,,6.496969,-50.239086,51.4403,2.,5.28,1.723,F2V,.371,
30899,30972,45466,2338,,47    Aur,,6.500827,46.685555,187.2659,-47.,5.88,-0.482,K4III,1.448,
30900,30973,46730,2408,,,,6.500836,-65.568245,96.8054,6.,6.28,1.351,F0III,.329,
30913,30986,45976,2367,,,,6.503132,-10.081511,319.4888,20.,5.92,-1.602,K0,1.373,
30915,30988,46037,,,,,6.503283,-19.21489,322.5806,0,6.44,-1.103,M0/M1III,1.683,
30951,31024,46064,2373,,,,6.50969,-13.148172,500.,2.,6.16,-2.335,B2III,-0.137,
30964,31037,46189,2380,,,,6.512858,-27.769575,377.3585,20.,5.92,-1.964,B3IV/V,-0.156,
30966,31039,45410,2331,,6    Lyn,,6.51309,58.162632,55.8036,36.,5.86,2.127,K0IV,.934,
30983,31056,46365,2390,,,,6.516638,-40.916252,173.3102,51.,6.19,-0.004,K3III,1.398,
30993,31066,45995,2370,,,,6.519323,11.251375,303.0303,20.,6.17,-1.237,B2V:nne,-0.116,
30995,31068,46792,2410,,,,6.519624,-61.879543,380.2281,34.,6.15,-1.75,B3V,-0.147,
30999,31072,46349,2388,,,,6.520304,-35.258839,188.6792,14.,5.82,-0.559,G8III+...,.813,
31005,31079,46569,2400,,,,6.521744,-51.825954,36.914,16.,5.58,2.744,F8V,.534,
31010,31084,46184,2379,,,,6.523068,-12.391953,112.3596,17.,5.16,-0.093,K1III,1.262,
31012,31086,46347,,,,,6.523333,-32.868549,314.4654,0,6.31,-1.178,M4III,1.665,
31025,31099,46431,2393,,,,6.526374,-36.940025,220.7506,54.,6.26,-0.46,M2/M3III,1.599,
31031,31105,46031,2371,,19    Gem,,6.527065,15.903501,134.9528,21.,6.38,.729,A8V,.275,
31045,31119,46089,2375,,,,6.530083,11.544412,63.6537,-3.,5.22,1.201,A3V,.185,
31048,31121,46229,2381,,,,6.530573,-8.158235,214.1328,3.,5.43,-1.223,K2III,1.373,
31052,31125,46328,2387,,4Xi 1CMa,,6.530935,-23.418423,423.7288,27.,4.34,-3.795,B1III,-0.245,
31062,31137,46860,2412,,Mu  Pic,,6.532864,-58.753834,232.0186,2.,5.69,-1.138,B9V,-0.057,
31081,31158,46136,,,,,6.538485,17.784349,80.2568,.4,6.26,1.738,F6V...,.541,
31082,31159,46241,2382,,12    Mon,,6.538668,4.855999,172.4138,21.,5.88,-0.303,K0V,.997,
31088,31165,46568,2399,,,,6.539271,-37.696701,83.7521,39.,5.25,.635,G8III,.982,
31090,31167,46304,2386,,,,6.539758,-5.86882,41.841,-21.,5.6,2.492,F0Vnn+...,.256,
31091,31168,46178,2378,,,,6.539798,11.67352,210.5263,-21.,6.08,-0.537,K0III,1.069,
31096,31173,46052,2372,,,,6.540885,32.454899,80.5802,-9.,5.82,1.289,A3m + A3m,.188,
31113,31190,46547,2397,,,,6.54416,-32.030445,537.6344,20.,5.73,-2.922,B2V,-0.18,
31128,31205,46407,2392,,,,6.546354,-11.166381,123.3046,-11.,6.3,.845,K0III:...,1.096,
31139,31216,46300,2385,,13    Mon,,6.548396,7.332965,100000.,12.,4.47,-15.53,A0Ib,.023,
31164,31241,46727,2407,,,,6.552844,-38.625191,150.6024,29.,6.44,.551,G8III,.999,
31188,31265,47001,2416,,,,6.557304,-52.329235,183.8235,6.,6.18,-0.142,G8III,1.088,
31189,31266,46602,2403,,,,6.557409,-20.923962,98.8142,-2.,6.39,1.416,K0III+...,.817,
31200,31277,46374,2391,,,,6.560046,14.155163,77.0416,-12.,5.57,1.136,K2III:,1.105,
31201,31278,46487,2395,,,,6.560534,-1.220154,169.7793,25.,5.09,-1.059,B5Vn,-0.132,
31222,31299,46815,2411,,,,6.563745,-36.232029,120.048,32.,5.42,.023,K3III,1.419,
31282,31359,46101,2376,,7    Lyn,,6.575777,55.353043,295.858,-20.,6.45,-0.905,K0III:,1.554,
31285,31362,46936,2415,,,,6.576481,-32.716255,161.2903,28.,5.62,-0.418,B9V,-0.085,
31308,31385,46642,2404,,14    Mon,,6.579533,7.572482,115.4734,38.,6.44,1.128,A0Vs,-0.01,
31330,31407,47306,2435,,,,6.58294,-52.975609,418.41,23.,4.35,-3.758,B9III,-0.021,
31339,31416,46933,2414,,5Xi 2CMa,,6.584274,-22.964792,135.318,26.,4.54,-1.117,A0III,-0.035,
31357,31434,46553,2398,,49    Aur,,6.586684,28.022314,113.3787,17.,5.26,-0.013,A0Vnn,-0.008,
31367,31446,46769,2409,,,,6.58773,.890216,467.2897,10.,5.78,-2.568,B8Ib,.004,
31369,31448,46709,2406,,,,6.588221,9.988335,469.4836,39.,5.93,-2.428,K4III,1.508,
31378,31457,47144,2424,,,,6.590061,-36.779881,156.25,23.,5.59,-0.379,A0V,-0.13,
31390,31469,47012,,,,,6.591894,-22.109053,134.4086,0,6.32,.678,K0III,1.03,
31429,31509,47230,2431,,,,6.598344,-36.088631,39.604,28.,6.36,3.371,F6V,.486,
31484,31564,47138,2423,,6Nu 1CMa,,6.606347,-18.659904,107.5269,25.,5.71,.552,G8/K0III+..,.848,
31499,31579,46687,2405,,,,6.609121,38.445499,100000.,12.,5.4,-14.6,C5II,2.773,
31503,31583,47054,2418,,,,6.609814,-5.211143,230.9469,27.,5.52,-1.298,B8V,-0.082,
31512,31592,47205,2429,Gl 239.1,7Nu 2CMa,,6.611399,-19.255878,19.7511,4.1,3.95,2.472,K1III+...,1.037,
31514,31593,47247,2433,,,,6.611407,-22.614733,322.5806,34.,6.35,-1.193,B3V,-0.117,
31518,31599,47182,2428,,,,6.612944,-13.321036,210.9705,-12.,5.95,-0.671,K4/K5III,1.562,
31523,31603,47475,2445,,,,6.614243,-41.55714,483.0918,14.,6.36,-2.06,K0II,1.147,
31537,31617,47463,2444,,,,6.617191,-38.146507,110.3753,29.,6.03,.816,K0III,1.03,
31557,31637,47500,2446,,,,6.62051,-36.99065,350.8772,21.,5.72,-2.006,B6IV,-0.112,
31566,31646,47129,2422,,,,6.623345,6.135382,100000.,25.,6.05,-13.95,O8e,.018,
31570,31650,47020,2417,,,,6.624247,24.590851,121.9512,-2.,6.44,1.009,A3V,.101,
31582,31662,47156,2426,,,,6.626915,10.853293,152.439,2.,6.39,.475,K0,1.351,
31585,31665,46590,2402,,11    Lyn,,6.627332,56.857533,101.7294,.4,5.87,.833,A2V,.006,
31592,31672,47220,2430,,,,6.627868,2.704158,135.6852,-8.,6.17,.507,K1III,1.08,
31594,31674,47366,2437,,,,6.627998,-12.985116,80.,9.,6.11,1.595,K1III:,.994,
31596,31676,46480,2394,,8    Lyn,,6.6282,61.481232,52.0562,-46.,5.94,2.358,G8IV-V,.899,
31601,31681,47105,2421,,24Gam Gem,Alhena,6.628528,16.399252,33.5121,-13.,1.93,-0.696,A0IV,.001,
31605,31685,47670,2451,,Nu  Pup,,6.629353,-43.195934,113.8952,28.,3.17,-2.113,B8III SB,-0.103,
31608,31688,47536,2447,,,,6.629891,-32.339733,123.3046,79.,5.25,-0.205,K1III,1.177,
31617,31697,47240,2432,,,,6.631307,4.95667,100000.,33.,6.14,-13.86,B1Ib,.091,
31620,31700,47442,2443,,8Nu 3CMa,,6.631506,-18.237478,129.199,-2.,4.42,-1.136,K0II/III,1.137,
31623,31703,45947,2365,,,,6.631984,73.695633,35.9583,6.,6.26,3.481,F2,.396,
31631,31711,48189,2468,NN 3400A,,,6.633443,-61.533386,21.2947,32.3,6.15,4.509,G1/G2V,.624,
31653,31733,47420,2440,,,,6.639016,-2.543897,232.5581,27.,6.14,-0.693,K2,1.47,
31656,31736,47579,,,,,6.639697,-23.58032,234.192,0,6.48,-0.368,A2V,.664,
31657,31737,47152,2425,,53    Aur,,6.639725,28.984354,106.2699,18.,5.76,.628,B9npe...,-0.001,
31678,31758,47561,2448,,,,6.643174,-16.873547,149.4768,10.,6.01,.137,A0IV,.042,
31685,31765,47973,2462,,,,6.643787,-48.220184,146.1988,28.,5.05,-0.775,G8III,.997,
31686,31766,47432,2442,,,,6.643941,1.613518,666.6667,58.,6.23,-2.89,O9.5II,.086,
31691,31771,47070,2419,,51    Aur,,6.644317,39.390854,149.7006,33.,5.7,-0.176,K5III,1.367,
31709,31789,47100,2420,,52Psi3Aur,,6.646995,39.902557,420.1681,9.,5.34,-2.777,B8III,-0.075,
31733,31813,47358,2436,,,,6.651472,22.030882,129.199,-9.,6.09,.534,G9III,1.027,
31746,31827,47667,2450,,,,6.654644,-14.145764,303.0303,29.,4.82,-2.587,K2III,1.459,
31751,31832,47174,2427,,50Psi2Aur,,6.655507,42.488876,127.551,17.,4.8,-0.728,K3III,1.236,
31769,31850,47415,2439,,,,6.658745,24.600163,32.7761,18.,6.43,3.852,F8IV,.523,
31771,31852,47395,2438,,54    Aur,,6.6592,28.263134,258.3979,19.,6.02,-1.041,B7III,-0.087,
31778,31859,47827,2455,,,,6.660062,-23.695662,208.3333,26.,6.05,-0.544,A0V,-0.031,
31787,31870,47946,2460,,,,6.66185,-30.470491,73.3676,-24.,5.7,1.372,K1III,1.134,
31793,31876,47575,2449,,,,6.663255,12.982768,78.8644,-20.,5.99,1.506,A2V,.063,
31806,31889,47270,2434,,,,6.666078,44.014114,212.3142,-30.,6.35,-0.285,K1III,1.222,
31814,31897,50506,2559,,Zet Men,,6.667474,-80.813591,126.9036,7.,5.61,.093,A5III,.214,
31857,31940,45866,2363,,,,6.674679,77.995781,214.1328,-14.,5.75,-0.903,K5III,1.488,
31863,31946,46509,2396,,,,6.675624,71.748787,237.5297,-23.,5.88,-0.999,K0III,1.223,
31895,31978,47839,2456,,15    Mon,,6.682961,9.895754,281.6901,33.,4.66,-2.589,O7,-0.233,
31909,31992,47964,2461,,,,6.684845,.495323,384.6154,23.,5.79,-2.135,B8III,-0.094,
31922,32007,48383,2475,,,,6.68727,-40.349846,355.8719,17.,6.16,-1.596,B4V,-0.146,
31927,32012,47886,2458,,,,6.688117,11.003197,100000.,16.,6.19,-13.81,M1III,1.675,
31934,32019,47731,2453,,25    Gem,,6.689138,28.196638,632.9114,-6.,6.45,-2.557,G5Ib,1.09,
31935,32020,47863,2457,,,,6.689428,16.39765,276.2431,22.,6.28,-0.926,A1V,-0.016,
31955,32040,47703,2452,,,,6.693822,35.931927,83.8223,86.,6.48,1.863,F8III,.509,
31979,32064,48217,2469,,,,6.698996,-9.167537,105.5966,1.,5.21,.092,M0III,1.525,
31982,32067,48099,2467,,,,6.699786,6.345425,854.7009,31.,6.36,-3.299,O6,-0.084,
32006,32091,48543,2482,,,,6.704551,-38.398792,82.9187,63.,6.28,1.687,A+...,.346,
32019,32104,48097,2466,,26    Gem,,6.706757,17.645304,43.63,15.,5.2,2.001,A2V,.063,
32059,32144,48501,2481,,,,6.712791,-22.448589,54.3183,44.,6.26,2.585,F2V,.321,
32088,32173,47914,2459,,55Psi4Aur,,6.718051,44.524448,99.2063,-73.,5.04,.057,K5III,1.479,
32092,32177,48348,2474,,,,6.718504,3.033801,194.5525,31.,6.18,-0.265,K0,1.366,
32105,32190,48073,2464,,,,6.720483,37.147373,158.7302,-41.,6.21,.207,K0,1.026,
32123,32208,48797,2488,,,,6.723154,-39.193119,135.5014,10.,6.3,.64,A8:+...,.258,
32137,32222,49947,2531,,,,6.726872,-73.11821,136.7989,16.,6.36,.68,G8III,.96,
32141,32226,48434,2479,,,,6.727402,3.932528,877.193,35.,5.88,-3.835,B0III,-0.046,
32161,32246,48329,2473,,27Eps Gem,,6.732202,25.131124,259.0674,10.,3.06,-4.007,A3mA6-A9,1.377,
32164,32249,48433,2478,,30    Gem,,6.733137,13.228017,88.574,14.,4.49,-0.247,K1III,1.167,
32176,32261,47979,2463,,,,6.736527,53.29594,78.3085,19.,6.28,1.811,K0,1.089,
32182,32268,48272,2471,,,,6.736812,36.109257,281.6901,-15.,6.37,-0.879,A2V,.065,
32184,32269,49219,,,,,6.736888,-54.695507,220.2643,0,6.47,-0.245,B5/B6V,-0.119,
32207,32292,48917,2492,,10    CMa,,6.741241,-31.070522,100000.,34.,5.23,-14.77,B2V,-0.127,
32226,32311,48450,2480,,28    Gem,,6.745961,28.970932,145.9854,16.,5.42,-0.402,K4III,1.445,
32237,32322,48938,2493,Gl 243,,,6.747765,-27.341665,27.137,-12.1,6.43,4.262,F7V,.55,
32247,32332,50002,2536,,,,6.748796,-70.433762,195.3125,5.,6.1,-0.354,K3III,1.335,
32263,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-9.4,-1.44,1.454,A0m...,.009,
32276,32362,48737,2484,Gl 242,31Xi  Gem,,6.754824,12.895591,17.9986,30.,3.35,2.074,F5IV,.443,
32280,32366,49095,2500,Gl 245.1,,,6.756378,-31.793661,24.3784,32.,5.92,3.985,F7V,.491,
32282,32368,49001,2495,,,,6.75649,-23.462433,145.9854,34.,6.04,.218,K2III,1.205,
32299,32385,49131,2501,,,,6.758664,-30.94898,581.3953,7.,5.62,-3.202,B+...,-0.138,
32316,32402,49517,2515,,,,6.764922,-52.409691,395.2569,23.,5.81,-2.174,K3III,1.551,
32318,32404,48843,2489,,32    Gem,,6.765055,12.693561,877.193,9.,6.47,-3.245,A9III,.344,
32325,32411,49048,2498,,,,6.766499,-14.796127,130.039,-19.,5.3,-0.27,A1IV/V,.075,
32348,32434,49336,2510,,,,6.770042,-37.775326,406.5041,15.,6.19,-1.855,B3Vne,-0.123,
32352,32438,48250,2470,,12    Lyn,,6.770595,59.441669,65.8328,-3.,4.86,.768,A3V,.084,
32353,32439,46588,2401,Gl 240.1,,,6.77067,79.564812,17.8731,15.7,5.44,4.179,F8V,.525,
32377,32463,48977,2494,,16    Mon,,6.775671,8.587153,263.1579,10.,5.92,-1.181,B2.5V,-0.173,
32388,32474,49147,2502,,,,6.777505,-10.10736,165.5629,17.,5.66,-0.435,B9.5V,-0.048,
32391,32477,49705,2524,,,,6.778242,-54.695026,127.2265,3.,6.45,.927,G6III,.858,
32394,32480,48682,2483,Gl 245,56Psi5Aur,,6.778983,43.577427,16.7168,-23.9,5.24,4.124,G0V,.575,
32403,32489,48432,2477,,13    Lyn,,6.780417,57.169174,64.6831,19.,5.34,1.286,K0III,.964,
32406,32492,49229,2504,,11    CMa,,6.780859,-14.425971,243.9024,15.,5.28,-1.656,B8/B9III,-0.024,
32408,32494,49689,2523,,,,6.7813,-51.265667,252.5253,-5.,5.39,-1.622,K1II/IIIp+G:,1.33,
32414,32500,58805,2848,,,,6.782923,-87.024963,39.3546,4.,6.46,3.485,F3V,.429,
32418,32504,49333,2509,,12    CMa,,6.783745,-21.015402,241.5459,15.,6.07,-0.845,B7II/III,-0.159,
32445,32531,49877,2526,,,,6.78853,-55.539989,184.5018,35.,5.6,-0.73,K5III,1.549,
32447,32533,49161,2503,,17    Mon,,6.788842,8.037254,151.0574,47.,4.77,-1.126,K4III,1.396,
32451,32537,49591,2518,,,,6.789278,-37.929699,99.4036,47.,5.27,.283,B8/B9V,-0.078,
32453,32539,49059,2499,,,,6.789849,18.193453,176.6784,21.,6.35,.114,A2V,.066,
32472,32558,49331,2508,,,,6.793673,-8.998503,432.9004,24.,5.08,-3.102,M1II,1.795,
32476,32562,48781,2487,,57Psi6Aur,,6.794327,48.789474,110.4972,-8.,5.22,.003,K1III,1.131,
32492,32578,49293,2506,,18    Mon,,6.79768,2.412159,112.8668,11.,4.48,-0.783,K0III,1.099,
32521,32607,50241,2550,Gl 248,Alp Pic,,6.803194,-61.941391,29.6033,20.6,3.24,.883,A7IV,.225,
32523,32609,48766,2486,,,,6.803407,55.704193,44.2674,9.,5.54,2.31,F5V:+...,,
32531,32617,49434,2514,,,,6.805296,-1.318922,39.984,-14.,5.75,2.741,F1V,.292,
32591,32677,49662,2522,,,,6.816038,-15.144726,162.0746,23.,5.39,-0.659,B7IV,-0.096,
32596,32682,49567,2517,,,,6.817682,1.002065,100000.,23.,6.16,-13.84,B3II-III,-0.134,
32612,32698,49643,2521,,,,6.821225,-2.272038,176.0563,10.,5.75,-0.478,B8IIIn,-0.098,
32653,32740,49380,2512,,,,6.828143,32.606754,127.551,-16.,5.72,.192,K3II,1.298,
32657,32744,49891,2528,,,,6.828889,-24.076065,245.7002,-2.,6.31,-0.642,A0/A1V,.054,
32659,32746,49364,,,,,6.828968,37.512749,224.7191,0,6.49,-0.268,K5,1.553,
32667,32753,49606,2519,,33    Gem,,6.83051,16.202888,263.1579,13.,5.87,-1.231,B7III,-0.136,
32672,32759,50013,2538,,13Kap CMa,,6.830683,-32.508476,202.0202,14.,3.5,-3.027,B1.5IVne,-0.116,
32675,32761,50337,2554,,,,6.830921,-53.622448,166.9449,26.,4.41,-1.703,G6II,.899,
32679,32765,50223,2548,Gl 249.1,,,6.831838,-46.614559,25.2589,20.1,5.14,3.128,F5III,.46,
32682,32768,50310,2553,,Tau Pup,,6.832266,-50.614559,55.8036,36.,2.94,-0.793,K0III...,1.207,
32689,32775,50571,2562,,,,6.833614,-60.249146,33.6247,23.,6.11,3.477,F7III-IV,.457,
32723,32809,49980,2535,,,,6.83938,-17.084555,363.6364,23.,5.77,-2.033,K3III,1.435,
32724,32810,50123,2545,,,,6.839819,-31.706057,199.2032,20.,5.74,-0.756,B3V,.094,
32728,32814,49738,2525,,35    Gem,,6.840416,13.413177,540.5405,26.,5.68,-2.984,K3III,1.329,
32741,32827,50093,2544,,,,6.8436,-25.778395,483.0918,21.,6.32,-2.1,B2III/IV,-0.183,
32752,32838,49976,2534,,,,6.845084,-8.040996,99.9001,22.,6.31,1.312,A2p SrCrEu,.011,
32758,32844,49520,2516,,58Psi7Aur,,6.846097,41.781231,116.144,61.,4.99,-0.335,K3III,1.256,
32765,32851,49933,2530,,,,6.847176,-0.540882,29.6824,-15.,5.78,3.418,F2V,.396,
32769,32855,50235,2549,,,,6.847876,-34.367317,250.,30.,4.99,-2.,K2/K3III,1.379,
32778,32864,48879,2490,,42    Cam,,6.849191,67.571938,283.2861,5.,5.14,-2.121,B4IV,-0.152,
32826,32912,51557,2602,,Iot Vol,,6.857495,-70.963409,172.7116,19.,5.41,-0.777,B7IV,-0.11,
32831,32918,50621,2563,,,,6.859048,-48.292755,207.4689,-9.,6.42,-0.165,K2/K3III,1.207,
32834,32921,49908,2529,,36    Gem,,6.859179,21.761148,150.6024,34.,5.28,-0.609,A2V,-0.02,
32844,32931,50062,2543,,,,6.860938,3.041991,105.042,24.,6.37,1.263,A2Vs,.052,
32851,32938,50445,2558,,,,6.861785,-36.23027,55.2181,4.,5.94,2.23,A3V,.183,
32881,32968,49968,2533,,,,6.866664,23.601719,141.844,40.,5.68,-0.079,K5III,1.467,
32903,32990,50282,2552,,,,6.873017,-5.316277,141.0437,31.,6.3,.553,K0,.977,
