id,hip,hd,hr,gl,bf,proper,ra,dec,dist,rv,mag,absmag,spect,ci
811,813,560,26,,34    Psc,,.167278,11.145813,93.633,14.,5.54,.683,B9V,-0.064,
812,814,636,30,,Gam3Oct,,.167293,-82.224045,78.064,15.,5.29,.828,K1/K2III,1.049,
838,840,587,29,,,,.171908,-5.248588,58.309,24.,5.84,2.011,K1III,.973,
839,841,571,27,,22    And,,.172012,46.072273,377.3585,-5.,5.01,-2.874,F2II,.405,
871,873,645,31,,,,.178565,-12.579897,75.0188,6.,5.84,1.464,K0III,1.,
908,910,693,33,Gl 10,6    Cet,,.187739,-15.467977,18.7477,14.6,4.89,3.525,F5V,.487,
928,930,720,34,,Kap2Scl,,.192894,-27.799738,243.309,-6.,5.41,-1.521,K2III,1.346,
948,950,739,35,NN 3013,The Scl,,.195552,-35.133118,21.2766,-13.5,5.24,3.6,F3/F5V,.459,
965,967,743,36,,,,.199741,48.152397,202.0202,16.,6.18,-0.347,K4III,1.467,
981,983,787,37,,,,.202773,-17.938278,190.8397,-8.,5.29,-1.113,K4III,1.478,
1065,1067,886,39,,88Gam Peg,Algenib,.220598,15.183596,120.048,4.,2.83,-2.567,B2IV,-0.19,
1072,1074,1032,47,,,,.222099,-84.99398,298.5075,4.,5.78,-1.595,M0/M1III,1.71,
1074,1076,895,40,,,,.223312,26.987545,131.406,-13.,6.24,.647,G0III,.68,
1084,1086,905,41,,23    And,,.22524,41.03537,34.904,-29.,5.71,2.996,F0IV,.331,
1094,1096,942,42,,,,.228401,-26.022345,396.8254,-30.,5.94,-2.053,K5III,1.548,
1097,1099,943,43,,,,.228994,-26.28496,265.252,18.,6.14,-0.978,K4III,1.49,
1121,1123,952,44,,,,.233967,33.206039,103.1992,1.,6.22,1.152,A1V,.009,
1156,1158,1014,46,,,,.241008,-7.780532,178.5714,-2.,5.13,-1.129,M3IIIvar,1.601,
1166,1168,1013,45,,89Chi Peg,,.243378,20.206701,112.8668,-46.,4.79,-0.473,M2III,1.572,
1169,1170,1038,48,,7    Cet,,.244005,-18.932865,137.1742,-23.,4.44,-1.246,M1III,1.64,
1189,1191,1064,51,,,,.248476,-9.569571,103.8422,17.,5.77,.688,B9V,-0.084,
1191,1193,1048,49,,,,.24886,22.284225,140.8451,-15.,6.25,.506,A1p,-0.004,
1193,1195,1089,54,,,,.249515,-34.904224,194.5525,-52.,6.17,-0.275,K3III,1.344,
1194,1196,1061,50,,35    Psc,,.249677,8.820962,77.7605,1.,6.02,1.566,F0IV,.312,
1206,1208,1075,52,,,,.25193,31.535725,286.533,2.,6.34,-0.946,K5,1.555,
1213,1215,1083,53,,,,.252934,27.28344,135.1351,-4.,6.35,.696,A1Vn,-0.002,
1266,1269,1142,,,,,.265239,61.000172,132.9787,-17.,6.43,.811,G8III...,.838,
1267,1268,1221,58,,,,.265257,-75.911613,189.3939,16.,6.49,.103,G8/K0III,.983,
1286,1288,1187,57,,,,.269126,-31.446394,152.207,26.,5.66,-0.252,K2III,1.35,
1293,1296,1141,55,,,,.270527,76.950752,192.3077,-7.,6.35,-0.07,B9Vn,-0.044,
1300,1302,1185,56,,,,.272645,43.595051,106.4963,2.,6.12,.983,A2V,.068,
1317,1319,1227,59,,36    Psc,,.276122,8.240154,125.,1.,6.12,.635,G8II-III,.919,
1351,1354,1239,60,,,,.282513,61.533184,190.1141,-4.,5.74,-0.655,G8III,.898,
1363,1366,1280,63,,24The And,,.284863,38.681637,94.697,1.,4.61,-0.272,A2V,.059,
1369,1372,1279,62,,,,.285845,47.947407,343.6426,-9.,5.86,-1.821,B7III,-0.079,
1399,1402,1343,66,,,,.292417,-19.051092,48.4966,-5.,6.46,3.031,F3V,.386,
1412,1415,1337,65,,,,.295295,51.43309,735.2941,-35.,6.11,-3.222,O9IIInn,-0.151,
1418,1421,1367,67,,,,.296583,1.688727,117.3709,-9.,6.19,.842,K0II,.937,
1462,1465,1419,69,,,,.304791,11.206214,153.8462,9.,6.07,.135,K0III,1.036,
1470,1473,1404,68,,25Sig And,,.305463,36.785225,41.3223,-8.,4.51,1.429,A2V,.054,
1490,1493,1439,71,,,,.310625,31.517227,166.6667,-5.,5.88,-0.229,A0IV,-0.014,
1496,1499,1461,72,Gl 16.1,,,.311629,-8.053001,23.245,-10.4,6.47,4.638,G0V,.674,
1498,1501,1438,70,,26    And,,.311712,43.791142,202.8398,7.,6.1,-0.436,B8V,-0.074,
1499,1502,1483,73,,,,.31182,-43.235573,112.4859,12.,6.33,1.075,K2III,1.21,
1559,1562,1522,74,,8Iot Cet,,.323799,-8.823921,84.1751,19.,3.56,-1.066,K2III,1.214,
1571,1575,1527,75,,,,.328212,40.729462,175.1313,-38.,6.35,.133,K1III,1.179,
1595,1599,1581,77,Gl 17,Zet Tuc,,.334142,-64.874794,8.5866,9.,4.23,4.561,F9V,.576,
1626,1630,1606,78,,,,.340111,30.935614,159.7444,4.,5.89,-0.127,B7V,-0.098,
1635,1639,1601,,,,,.341924,48.968632,218.3406,0,6.46,-0.236,G0,.564,
1641,1645,1635,80,,41    Psc,,.343295,8.190271,125.,16.,5.38,-0.105,K3III,1.343,
1643,1647,1685,83,,Pi  Tuc,,.344178,-69.624916,97.561,12.,5.5,.554,B9V,-0.046,
1653,1657,1632,79,,,,.345978,32.911186,191.9386,-36.,5.79,-0.626,K5III,1.595,
1682,1686,1671,82,,27Rho And,,.352017,37.968601,48.5437,9.,5.16,1.729,F5III,.442,
1702,1706,1801,87,,,,.357986,-77.426872,174.8252,21.,5.96,-0.253,K3III,1.397,
1704,1708,1737,84,,Iot Scl,,.358665,-28.981468,101.3171,21.,5.18,.152,K0III,1.006,
1724,1728,1760,85,,,,.362853,-20.058023,270.2703,29.,5.61,-1.549,M5/M6Ib/II,1.58,
1768,1772,1796,86,,42    Psc,,.373745,13.482488,153.8462,3.,6.25,.315,K3III,1.225,
1799,1803,1835,88,Gl 17.3,9    Cet,,.381051,-12.209438,20.8638,-2.6,6.39,4.793,G3V,.659,
1817,1821,1879,,,,,.384554,-15.942556,337.8378,-20.2,6.43,-1.214,M0III,1.595,
1916,1921,1976,91,,,,.404348,52.019913,306.7485,-7.,5.58,-1.854,B5IV,-0.11,
1934,1939,2023,94,,,,.408236,-2.219064,151.7451,15.,6.08,.174,K1III,1.216,
1943,1948,2035,,,,,.410599,14.315514,180.5054,-15.8,6.48,.198,K0,1.161,
1955,1960,2011,93,,12    Cas,,.413193,61.831059,215.0538,-4.,5.38,-1.283,B9III,.008,
1977,1982,2054,96,,,,.418445,53.046787,158.2278,10.,5.72,-0.276,B9IV,-0.056,
2000,2006,2114,97,,44    Psc,,.423391,1.939692,144.0922,-4.,5.77,-0.023,G5III,.855,
2016,2021,2151,98,Gl 19,Bet Hyi,,.427916,-77.25425,7.4588,22.9,2.82,3.457,G2IV,.618,
2069,2072,2262,100,Gl 20,Kap Phe,,.436716,-43.679829,23.8095,11.3,3.93,2.046,A7V,.175,
2076,2081,2261,99,,Alp Phe,Ankaa,.438056,-42.305981,25.974,75.,2.4,.327,K0III...,1.083,
2081,2086,2268,,,,,.439375,-18.693632,483.0918,-0.3,6.24,-2.18,M1III,1.622,
2095,2100,2273,101,,10    Cet,,.443726,-0.049533,138.3126,-23.,6.16,.456,G8III,.893,
2153,2159,2363,102,,,,.454085,-25.547171,176.0563,-3.,5.99,-0.238,K0III,1.022,
2173,2178,2358,,,,,.45863,16.025482,117.2333,-4.,6.44,1.095,A5,.23,
2204,2210,2429,105,,Eta Scl,,.465472,-33.007168,138.5042,11.,4.86,-0.847,M2/M3III,1.634,
2207,2213,2410,,,,,.466241,19.514038,172.117,8.3,6.4,.221,K0,.99,
2213,2219,2411,103,,47    Psc,,.467475,17.893126,162.0746,6.,5.01,-1.039,M3IIIvar,1.584,
2218,2224,2436,106,,48    Psc,,.470195,16.445065,233.6449,-7.,6.05,-0.793,K5III,1.58,
2220,2225,2421,104,,,,.470454,44.394451,86.6551,2.,5.18,.491,A2Vs,.043,
2229,2235,2454,107,,,,.472236,10.189848,36.5497,-10.,6.05,3.236,F6Vawvar,.447,
2231,2237,2475,108,,,,.472528,-20.335051,32.1958,6.,6.44,3.901,G3V,.594,
2234,2240,2490,109,,,,.474027,-39.915001,115.2074,32.,5.42,.113,M0III,1.556,
2250,2256,2529,111,,,,.478632,-50.53286,125.3133,6.,6.26,.77,K0III,1.09,
2264,2270,2507,110,,,,.482406,36.899693,162.0746,10.,6.28,.231,G5III,.916,
